iter	Passed	Remaining
388	95	101
389	96	101
390	96	101
391	96	100
392	97	100
393	97	100
394	97	100
395	97	99
396	98	99
397	98	99
398	98	99
399	98	98
400	99	98
401	99	98
402	99	98
403	99	97
404	100	97
405	100	97
406	100	97
407	100	96
408	101	96
409	101	96
410	101	96
411	101	95
412	102	95
413	102	95
414	102	95
415	102	94
416	103	94
417	103	94
418	103	94
419	103	93
420	104	93
421	104	93
422	104	93
423	104	92
424	105	92
425	105	92
426	105	92
427	105	91
428	106	91
429	106	91
430	106	91
431	106	90
432	107	90
433	107	90
434	107	90
435	107	90
436	108	89
437	108	89
438	108	89
439	108	89
440	109	88
441	109	88
442	109	88
443	109	87
444	110	87
445	110	87
446	110	87
447	110	87
448	111	86
449	111	86
450	111	86
451	111	86
452	112	85
453	112	85
454	112	85
455	112	85
456	113	84
457	113	84
458	113	84
459	113	84
460	114	83
461	114	83
462	114	83
463	114	83
464	115	82
465	115	82
466	115	82
467	115	82
468	116	81
469	116	81
470	116	81
471	116	81
472	117	80
473	117	80
474	117	80
475	117	80
476	118	79
477	118	79
478	118	79
479	118	79
480	119	78
481	119	78
482	119	78
483	119	78
484	120	77
485	120	77
486	120	77
487	120	77
488	121	77
489	121	76
490	121	76
491	121	76
492	122	76
493	122	75
494	122	75
495	122	75
496	123	75
497	123	74
498	123	74
499	123	74
500	124	74
501	124	73
502	124	73
503	124	73
504	125	73
505	125	72
506	125	72
507	125	72
508	126	72
509	126	71
510	126	71
511	126	71
512	127	71
513	127	70
514	127	70
515	127	70
516	128	70
517	128	69
518	128	69
519	128	69
520	129	69
521	129	68
522	129	68
523	129	68
524	130	68
525	130	67
526	130	67
527	130	67
528	131	67
529	131	66
530	131	66
531	132	66
532	132	66
533	132	66
534	132	65
535	133	65
536	133	65
537	133	65
538	133	64
539	134	64
540	134	64
541	134	64
542	134	63
543	135	63
544	135	63
545	135	63
546	136	62
547	136	62
548	136	62
549	136	62
550	137	61
551	137	61
552	137	61
553	137	61
554	138	60
555	138	60
556	138	60
557	138	60
558	139	59
559	139	59
560	139	59
561	139	59
562	140	58
563	140	58
564	140	58
565	141	58
566	141	58
567	141	57
568	141	57
569	142	57
570	142	57
571	142	56
572	142	56
573	143	56
574	143	56
575	143	55
576	143	55
577	143	55
578	144	55
579	144	54
580	144	54
581	145	54
582	145	54
583	145	53
584	145	53
585	146	53
586	146	53
587	146	52
588	146	52
589	147	52
590	147	52
591	147	51
592	147	51
593	148	51
594	148	51
595	148	50
596	148	50
597	148	50
598	149	50
599	149	49
600	149	49
601	150	49
602	150	49
603	150	48
604	150	48
605	151	48
606	151	48
607	151	47
608	151	47
609	151	47
610	152	47
611	152	46
612	152	46
613	153	46
614	153	46
615	153	45
616	153	45
617	154	45
618	154	45
619	154	44
620	154	44
621	155	44
622	155	44
623	155	43
624	155	43
625	156	43
626	156	43
627	156	42
628	156	42
629	157	42
630	157	42
631	157	41
632	157	41
633	158	41
634	158	41
635	158	40
636	158	40
637	158	40
638	159	40
639	159	39
640	159	39
641	159	39
642	160	39
643	160	38
644	160	38
645	160	38
646	161	38
647	161	37
648	161	37
649	161	37
650	162	37
651	162	36
652	162	36
653	162	36
654	163	36
655	163	35
656	163	35
657	163	35
658	163	35
659	164	34
660	164	34
661	164	34
662	164	34
663	165	33
664	165	33
665	165	33
666	165	33
667	166	32
668	166	32
669	166	32
670	166	32
671	167	31
672	167	31
673	167	31
674	167	31
675	168	30
676	168	30
677	168	30
678	168	30
679	169	29
680	169	29
681	169	29
682	169	29
683	170	28
684	170	28
685	170	28
686	170	28
687	171	27
688	171	27
689	171	27
690	171	27
691	172	26
692	172	26
693	172	26
694	172	26
695	173	25
696	173	25
697	173	25
698	173	25
699	174	24
700	174	24
701	174	24
702	174	24
703	174	23
704	175	23
705	175	23
706	175	23
707	176	22
708	176	22
709	176	22
710	176	22
711	176	21
712	177	21
713	177	21
714	177	21
715	177	20
716	178	20
717	178	20
718	178	20
719	178	19
720	179	19
721	179	19
722	179	19
723	179	18
724	180	18
725	180	18
726	180	18
727	180	17
728	181	17
729	181	17
730	181	17
731	181	16
732	182	16
733	182	16
734	182	16
735	182	15
736	183	15
737	183	15
738	183	15
739	183	14
740	184	14
741	184	14
742	184	14
743	184	13
744	185	13
745	185	13
746	185	13
747	185	12
748	186	12
749	186	12
750	186	12
751	186	11
752	187	11
753	187	11
754	187	11
755	187	10
756	188	10
757	188	10
758	188	10
759	188	9
760	189	9
761	189	9
762	189	9
763	189	8
764	190	8
765	190	8
766	190	8
767	190	7
768	191	7
769	191	7
770	191	7
771	191	6
772	192	6
773	192	6
774	192	6
775	192	5
776	193	5
777	193	5
778	193	5
779	193	4
780	194	4
781	194	4
782	194	4
783	194	3
784	195	3
785	195	3
786	195	3
787	195	2
788	196	2
789	196	2
790	196	2
791	196	1
792	197	1
793	197	1
794	197	1
795	197	0
796	198	0
797	198	0
798	198	0
799	198	0
