iter	Passed	Remaining
0	0	212
1	0	205
2	0	200
3	0	196
4	1	192
5	1	190
6	1	191
7	1	194
8	2	197
9	2	196
10	2	200
11	3	199
12	3	198
13	3	197
14	3	197
15	4	197
16	4	196
17	4	196
18	4	196
19	5	195
20	5	195
21	5	194
22	5	195
23	6	194
24	6	194
25	6	193
26	6	193
27	6	192
28	7	191
29	7	190
30	7	190
31	7	189
32	8	189
33	8	189
34	8	188
35	8	188
36	9	187
37	9	187
38	9	186
39	9	186
40	10	186
41	10	185
42	10	185
43	10	184
44	10	184
45	11	183
46	11	183
47	11	183
48	11	183
49	12	183
50	12	183
51	12	182
52	12	182
53	13	182
54	13	182
55	13	181
56	13	181
57	14	181
58	14	180
59	14	180
60	14	180
61	15	180
62	15	180
63	15	180
64	15	179
65	16	179
66	16	178
67	16	178
68	16	178
69	17	178
70	17	178
71	17	178
72	17	177
73	18	177
74	18	177
75	18	177
76	18	177
77	19	176
78	19	176
79	19	176
80	19	176
81	20	176
82	20	175
83	20	175
84	20	175
85	21	174
86	21	174
87	21	173
88	21	173
89	21	173
90	22	172
91	22	172
92	22	172
93	22	171
94	23	171
95	23	171
96	23	171
97	23	170
98	24	170
99	24	169
100	24	169
101	24	169
102	24	168
103	25	168
104	25	168
105	25	167
106	25	167
107	26	167
108	26	167
109	26	166
110	26	166
111	27	165
112	27	165
113	27	165
114	27	165
115	27	164
116	28	164
117	28	164
118	28	164
119	28	163
120	29	163
121	29	163
122	29	163
123	29	162
124	30	162
125	30	162
126	30	162
127	30	161
128	31	161
129	31	161
130	31	160
131	31	160
132	32	160
133	32	160
134	32	160
135	32	160
136	33	159
137	33	159
138	33	159
139	33	159
140	34	159
141	34	158
142	34	158
143	34	158
144	35	158
145	35	158
146	35	157
147	35	157
148	36	157
149	36	156
150	36	156
151	36	156
152	36	156
153	37	155
154	37	155
155	37	155
156	37	155
157	38	154
158	38	154
159	38	154
160	38	154
161	39	154
162	39	155
163	39	154
164	40	154
165	40	154
166	40	154
167	40	154
168	41	154
169	41	153
170	41	153
171	41	153
172	42	153
173	42	152
174	42	152
175	42	152
176	43	152
177	43	151
178	43	151
179	43	151
180	44	151
181	44	150
182	44	150
183	44	150
184	45	149
185	45	149
186	45	149
187	45	149
188	46	149
189	46	148
190	46	148
191	46	148
192	47	147
193	47	147
194	47	147
195	47	147
196	48	147
197	48	146
198	48	146
199	48	146
200	49	146
201	49	146
202	49	146
203	50	146
204	50	145
205	50	146
206	50	146
207	51	145
208	51	145
209	51	145
210	51	145
211	52	144
212	52	144
213	52	144
214	52	144
215	53	143
216	53	143
217	53	143
218	53	143
219	54	142
220	54	142
221	54	142
222	54	142
223	55	141
224	55	141
225	55	141
226	55	141
227	56	141
228	56	140
229	56	140
230	56	140
231	57	140
232	57	139
233	57	139
234	58	139
235	58	139
236	58	139
237	58	138
238	59	138
239	59	138
240	59	138
241	59	137
242	60	137
243	60	137
244	60	137
245	60	136
246	60	136
247	61	136
248	61	135
249	61	135
250	61	135
251	62	135
252	62	134
253	62	134
254	62	134
255	63	134
256	63	133
257	63	133
258	63	133
259	64	133
260	64	133
261	64	133
262	65	132
263	65	132
264	65	132
265	65	132
266	66	131
267	66	131
268	66	131
269	66	131
270	67	130
271	67	130
272	67	130
273	67	130
274	68	129
275	68	129
276	68	129
277	68	129
278	69	128
279	69	128
280	69	128
281	69	128
282	69	127
283	70	127
284	70	127
285	70	127
286	70	126
287	71	126
288	71	126
289	71	125
290	71	125
291	72	125
292	72	125
293	72	124
294	72	124
295	73	124
296	73	124
297	73	123
298	73	123
299	74	123
300	74	123
301	74	122
302	74	122
303	75	122
304	75	122
305	75	121
306	75	121
307	76	121
308	76	121
309	76	120
310	76	120
311	77	120
312	77	120
313	77	119
314	77	119
315	77	119
316	78	119
317	78	118
318	78	118
319	78	118
320	79	118
321	79	117
322	79	117
323	79	117
324	80	117
325	80	116
326	80	116
327	80	116
328	81	116
329	81	115
330	81	115
331	81	115
332	82	115
333	82	114
334	82	114
335	82	114
336	83	114
337	83	113
338	83	113
339	83	113
340	84	113
341	84	113
342	84	112
343	84	112
344	85	112
345	85	111
346	85	111
347	85	111
348	86	111
349	86	111
350	86	110
351	86	110
352	87	110
353	87	109
354	87	109
355	87	109
356	88	109
357	88	108
358	88	108
359	88	108
360	88	108
361	89	107
362	89	107
363	89	107
364	90	107
365	90	107
366	90	106
367	90	106
368	90	106
369	91	106
370	91	105
371	91	105
372	91	105
373	92	105
374	92	104
375	92	104
376	92	104
377	93	103
378	93	103
379	93	103
380	93	103
381	94	103
382	94	102
383	94	102
384	94	102
385	95	102
386	95	101
387	95	101
