iter	Logloss
113	0.3759125191
114	0.3754032713
115	0.3751862903
116	0.374838195
117	0.3740758219
118	0.3734882647
119	0.3731678582
120	0.3726490041
121	0.3721459687
122	0.3719809809
123	0.3714428021
124	0.371138963
125	0.3707896658
126	0.3705780584
127	0.3699943267
128	0.3694094879
129	0.368910599
130	0.3682312333
131	0.3678860816
132	0.3674259566
133	0.3667921696
134	0.3666158064
135	0.3661872333
136	0.3659337266
137	0.3656156811
138	0.365441928
139	0.3650372118
140	0.3649818702
141	0.3647798407
142	0.3643535863
143	0.3641876963
144	0.3639281869
145	0.3635808061
146	0.3630707565
147	0.3624210884
148	0.3621903711
149	0.3618707507
150	0.3616209346
151	0.3611829226
152	0.3611529613
153	0.3608373384
154	0.3605190971
155	0.3601719406
156	0.3599611009
157	0.3597606224
158	0.3594398101
159	0.3591620132
160	0.3589301005
161	0.3586009687
162	0.3582146871
163	0.3578424333
164	0.3576865314
165	0.3575075273
166	0.3573382993
167	0.3571936948
168	0.3569944585
169	0.3565994327
170	0.3562025069
171	0.3561016313
172	0.3558127666
173	0.3554284677
174	0.3550469459
175	0.3547901294
176	0.3543716556
177	0.3541583038
178	0.3539570173
179	0.3537882523
180	0.3536662349
181	0.3533973368
182	0.3530472546
183	0.352559893
184	0.3524551394
185	0.3522865768
186	0.3521835534
187	0.3520299684
188	0.3517939112
189	0.3513544795
190	0.3509034802
191	0.3506626733
192	0.3504848884
193	0.350111803
194	0.3498296237
195	0.3497083007
196	0.3491341111
197	0.3489459694
198	0.3486437634
199	0.3483057321
200	0.3480198875
201	0.3478768038
202	0.3477774533
203	0.3475291707
204	0.3471819058
205	0.3469097576
206	0.3465369482
207	0.346227602
208	0.346040481
209	0.3459108781
210	0.3458006193
211	0.3455309376
212	0.3453125858
213	0.3448364827
214	0.3446032463
215	0.3443527082
216	0.3442287915
217	0.3441044089
218	0.3439334052
219	0.343395696
220	0.3432695608
221	0.3431353465
222	0.343018235
223	0.3428185319
224	0.3425044866
225	0.342087127
226	0.3418141492
227	0.3417144009
228	0.3414977007
229	0.3412642279
230	0.3410568277
231	0.3409580939
232	0.3407241724
233	0.3404741792
234	0.3402715027
235	0.34005717
236	0.3398732557
237	0.3396741784
238	0.3392452306
239	0.3388464774
240	0.3387039487
241	0.3386071953
242	0.3384342297
243	0.3382842445
244	0.3381802157
245	0.3380974322
246	0.3379871661
247	0.3377096963
248	0.3374873517
249	0.3373725034
250	0.3371727172
251	0.3369565114
252	0.3368073798
253	0.3366343117
254	0.3363697864
255	0.3362326691
256	0.3361616445
257	0.3359613411
258	0.3357504538
259	0.3355634053
260	0.3354541512
261	0.3353795136
262	0.3351280286
263	0.3347792059
264	0.3345226647
265	0.3344263632
266	0.3343020085
267	0.3338938802
268	0.3334982976
269	0.3333006743
270	0.3329788232
271	0.3326616191
272	0.3325680725
273	0.3324662098
274	0.3323579938
275	0.332167686
276	0.3319297144
277	0.3316829881
278	0.3315418494
279	0.3314357971
280	0.3310953288
281	0.3310030906
282	0.3308982532
283	0.3306998019
284	0.3302776513
285	0.3300998973
286	0.3298043719
287	0.3293880834
288	0.3290908694
289	0.3289406959
290	0.3286983804
291	0.3284842398
292	0.3281893806
293	0.3280113533
294	0.3276724838
295	0.3275664874
296	0.3274693262
297	0.3270904091
298	0.3270016725
299	0.3269511661
300	0.3268590801
301	0.3266602107
302	0.3266463947
303	0.3265319107
304	0.3264040993
305	0.3261327694
306	0.3260258143
307	0.3258740005
308	0.3254823186
309	0.3251912439
310	0.3250724295
311	0.3248527906
312	0.3246877832
313	0.3245203195
314	0.3243204398
315	0.3241457317
316	0.3239724007
317	0.323848792
318	0.3236601245
319	0.3234919182
320	0.323102832
321	0.3230210965
322	0.3228703876
323	0.3227396718
324	0.322573288
325	0.3221760895
326	0.3219903345
327	0.3218516498
328	0.3214825855
329	0.3213292801
330	0.3212670649
331	0.3210146806
332	0.3208598334
333	0.3206982029
334	0.3204144053
335	0.3200942552
336	0.3199821781
337	0.3197709932
338	0.3197145243
339	0.3195748444
340	0.3194665915
341	0.3192457494
342	0.3191383304
343	0.318945944
344	0.3188175032
345	0.3184270747
346	0.3181154456
347	0.3180413163
348	0.3178316132
349	0.3177242047
350	0.3176310065
351	0.317465186
352	0.3172242515
353	0.3171678651
354	0.3169460903
355	0.316857095
356	0.3167207398
357	0.3165215606
358	0.3163561706
359	0.3162245259
360	0.3160389054
361	0.315797757
362	0.3156527484
363	0.3152608572
364	0.3150014708
365	0.3147791959
366	0.3145521144
367	0.3143556618
368	0.3142863837
369	0.3140114858
370	0.3138666355
371	0.313662086
372	0.3135980477
373	0.3135147934
374	0.3133978041
375	0.3132455029
376	0.3130708765
377	0.3129392067
378	0.3128079551
379	0.3126706125
380	0.3123867743
381	0.3122398523
382	0.3118044781
383	0.3117258421
384	0.3113861263
385	0.3112085735
386	0.3110305846
387	0.310912903
388	0.3108168656
389	0.3107478644
390	0.3105465058
391	0.3104780619
392	0.3102524548
393	0.3101290078
394	0.3100072134
395	0.3098092426
396	0.3094057235
397	0.3092929838
398	0.3091784053
399	0.3090074135
400	0.3088293168
401	0.3086490986
402	0.3085110282
403	0.3081704257
404	0.3080485337
405	0.3079254337
406	0.3078345008
407	0.3076525723
408	0.3073048601
409	0.307005347
410	0.3068774728
411	0.3067061638
412	0.3065820557
413	0.3064437829
414	0.3060534976
415	0.3058901653
416	0.3056821593
417	0.3054950192
418	0.3054555428
419	0.3053350051
420	0.305196492
421	0.3050200732
422	0.3049132832
423	0.3048026936
424	0.30469125
425	0.3046207613
426	0.3045152235
427	0.3044234092
428	0.3043111749
429	0.3041584357
430	0.3038845317
431	0.3037285298
432	0.3035040556
433	0.3031578614
434	0.3029958941
435	0.302873299
436	0.3026076258
437	0.3024608221
438	0.3023414129
439	0.302199914
440	0.3021543394
441	0.3019564461
442	0.3018429703
443	0.3016525504
444	0.301446054
445	0.3013389077
446	0.3012165166
447	0.3010023806
448	0.3008203281
449	0.3007343209
450	0.3005398715
451	0.3004361183
452	0.3002899409
453	0.3001267526
454	0.2999870754
455	0.2998739408
456	0.2997153394
457	0.2995792943
458	0.2994576699
459	0.2993533958
460	0.2992879265
461	0.2992490889
462	0.2991817497
463	0.2991551563
464	0.2987600455
465	0.2985383241
466	0.2984724724
467	0.2983144981
468	0.2982251869
469	0.2980956885
470	0.2979979555
471	0.2975930169
472	0.2974882597
473	0.2973863317
474	0.2972779827
475	0.2970172167
476	0.2966611229
477	0.2964793214
478	0.2962976503
479	0.2961884333
480	0.2961286516
481	0.2959567198
482	0.295811986
483	0.2957669166
484	0.2955160623
485	0.2953424781
486	0.2952034356
487	0.2951076869
488	0.2949513502
489	0.2946381508
490	0.2945052521
491	0.2943242842
492	0.2941757101
493	0.2941098281
494	0.2938845391
495	0.293757673
496	0.2935376823
497	0.2932652393
498	0.2931620769
499	0.2930598616
500	0.2929040873
501	0.2927008703
502	0.2925289027
503	0.2924717753
504	0.2923361606
505	0.2921841408
506	0.2920924176
507	0.2917247445
508	0.2916545946
509	0.2914911714
510	0.2912230543
511	0.2906978729
512	0.2906076559
513	0.2904259294
514	0.290295254
515	0.290116575
516	0.2899734277
517	0.2898450677
518	0.2897621509
519	0.2896759858
520	0.2895976634
521	0.2893131182
522	0.2891499682
523	0.2888746947
524	0.2887191705
525	0.2883653834
526	0.2882096399
527	0.2881360798
528	0.2878813685
529	0.287783965
530	0.2876685778
531	0.2874824207
532	0.2873441302
533	0.2870604417
534	0.2869231935
535	0.2868641547
536	0.2867846835
537	0.2867015709
538	0.2864582381
539	0.2863265606
540	0.2862901219
541	0.2860210455
542	0.2859221385
543	0.2858210921
544	0.2857230525
545	0.2855368968
546	0.2852514399
547	0.2852075307
548	0.2851021472
549	0.2849583432
550	0.2848137583
551	0.284651335
552	0.2845587146
553	0.2844419431
554	0.2841971555
555	0.2840870669
556	0.2839748155
557	0.2838636694
558	0.283773995
559	0.2836983979
560	0.2836248725
561	0.2834591332
562	0.2833182459
563	0.2832235897
564	0.2830049822
565	0.2828407284
566	0.2826651457
567	0.282307653
568	0.2821567125
569	0.2820854946
570	0.2819540736
571	0.2818228545
572	0.281725699
573	0.2816037479
574	0.2815213801
575	0.2813518809
576	0.2811097478
577	0.2810235376
578	0.28081346
579	0.2806962431
580	0.2804888319
581	0.280355237
582	0.2801010096
583	0.2799796383
584	0.2798078687
585	0.2796096914
586	0.2792748017
587	0.2791896112
588	0.279052748
589	0.2788322722
590	0.2785689722
591	0.2783877933
592	0.2783063117
593	0.2781349446
594	0.2779089563
595	0.2776918267
596	0.2775066283
597	0.2774506333
598	0.2772661883
599	0.2770593556
600	0.2769276785
601	0.2768518996
602	0.2767714275
603	0.2766240234
604	0.2763860212
605	0.2761559129
606	0.2760649916
607	0.2759861004
608	0.2758839523
609	0.2757194571
610	0.2754733116
611	0.2752392601
612	0.2751776465
613	0.2750513448
614	0.2748863722
615	0.2746928343
616	0.2745577864
617	0.274440498
618	0.2741283928
619	0.27398226
620	0.2737081698
621	0.2736077531
622	0.2733082527
623	0.2731425727
624	0.2731068562
625	0.2728552578
626	0.2727418197
627	0.2725941275
628	0.2725423352
629	0.2724059941
630	0.2723693622
631	0.2722308077
632	0.2719364978
633	0.2716677562
634	0.2713997116
635	0.271158394
636	0.2709360462
637	0.2708147654
638	0.2706582241
639	0.2705576315
640	0.2704891477
641	0.2703263266
642	0.2701130697
643	0.2699191741
644	0.2697916056
645	0.2697224842
646	0.2696435126
647	0.2695239761
648	0.2693270655
649	0.2692169032
650	0.2690794048
651	0.2688732579
652	0.2685929849
653	0.2683779823
654	0.2682860249
655	0.2681899197
656	0.2680673124
657	0.2679954825
658	0.2679259929
659	0.2678963618
660	0.2677788522
661	0.2675750223
662	0.2673255315
663	0.2670919239
664	0.2670037921
665	0.2667973003
666	0.2666999712
667	0.2665917457
668	0.2664904656
669	0.2662887974
670	0.2661745444
671	0.2661079392
672	0.2659151835
673	0.2658022446
674	0.265718159
675	0.265602185
676	0.2654966394
677	0.2653837425
678	0.2652687208
679	0.2650708402
680	0.26499164
681	0.2648744113
682	0.2647287166
683	0.2646630669
684	0.2645827434
685	0.2644852485
686	0.2644226786
687	0.2641520205
688	0.2641030297
689	0.2639567062
690	0.2637559123
691	0.2636290991
692	0.2635290393
693	0.2634104503
694	0.2633381128
695	0.2631017315
696	0.262965471
697	0.262878268
698	0.2627424296
699	0.2626540443
700	0.2625548141
701	0.2624020226
702	0.2623065749
703	0.2621013225
704	0.2620188361
705	0.2619506982
706	0.2618626856
707	0.2616598267
708	0.2615278333
709	0.2613594531
710	0.261258479
711	0.2609394189
712	0.2606753832
713	0.260450861
714	0.2601969077
715	0.260042187
716	0.2599204798
717	0.2598086425
718	0.2595634236
719	0.2594329975
720	0.2593717336
721	0.2593005025
722	0.259222955
723	0.2591305557
724	0.2590160655
725	0.2588880058
726	0.2585850037
727	0.2585046202
728	0.2581153907
729	0.2578379986
730	0.2578106511
731	0.2577454222
732	0.2576080537
733	0.2575097878
734	0.257441383
735	0.2573476657
736	0.2572643839
737	0.2571322377
738	0.2571235932
739	0.2570125291
740	0.2569512291
741	0.2567602883
742	0.256594034
743	0.2563775086
744	0.256316992
745	0.2562719743
746	0.2561672397
747	0.2560441651
748	0.2558411708
749	0.2556774041
750	0.2555238436
751	0.2554073614
752	0.2553498174
753	0.2552854278
754	0.2551781274
755	0.2550972876
756	0.2549567559
757	0.2549215429
758	0.2546739543
759	0.2545394347
760	0.2544763755
761	0.2543892969
762	0.2542623405
763	0.2541785289
764	0.2540669787
765	0.2539341349
766	0.2537974267
767	0.253672068
768	0.2534953026
769	0.2533931022
770	0.2532282332
771	0.2531928011
772	0.2531338734
773	0.2531196601
774	0.2530044374
775	0.2529540148
776	0.2528930061
777	0.2528322156
778	0.2526118049
779	0.2525236415
780	0.2523960061
781	0.2523530867
782	0.2521969282
783	0.2521363434
784	0.2520708034
785	0.2519856779
786	0.2519456555
787	0.2517103338
788	0.2515757602
789	0.2515424072
790	0.2514888592
791	0.2513433753
792	0.2512705756
793	0.251219307
794	0.2510527301
795	0.2508025691
796	0.2507199541
797	0.2505994385
798	0.2504297781
799	0.2502185337
800	0.2500863321
801	0.2499803982
802	0.2497549915
803	0.2496973503
804	0.2496213604
805	0.2495419995
806	0.2492860694
807	0.2491523493
808	0.2489841399
809	0.248940814
810	0.2489016276
811	0.2486983917
812	0.2486480388
813	0.2485865671
814	0.2484848027
815	0.2484088802
816	0.2482337905
817	0.2480354087
818	0.2479040489
819	0.2478634595
820	0.2477397973
821	0.2475879988
822	0.2475046795
823	0.2471548496
824	0.2470690119
825	0.2469909077
826	0.2468246844
827	0.2467510853
828	0.2465617884
829	0.2465069181
830	0.2463760959
831	0.2461959555
832	0.2461410971
833	0.2460718435
834	0.2459529807
835	0.2459009444
836	0.2457440365
837	0.2456918098
838	0.2454865159
839	0.2454122545
840	0.2453525585
841	0.2452199935
842	0.2451668452
843	0.2448408518
844	0.244685521
845	0.2445801126
846	0.2443030057
847	0.2441076682
848	0.2438722618
849	0.2438063943
850	0.2437381425
851	0.2436400572
852	0.2435929829
853	0.2432898063
854	0.2431254473
855	0.2430435693
856	0.2429800697
857	0.2429628692
858	0.2429305276
859	0.2428882108
860	0.2428261091
861	0.2427215661
862	0.2426560518
863	0.2426047398
864	0.2425519504
865	0.2424433086
866	0.2423394558
867	0.2422476634
868	0.2421320252
869	0.2420722015
870	0.2419776738
871	0.2418437359
872	0.2416984256
873	0.2416391173
874	0.2415392154
875	0.2414877438
876	0.2414537975
877	0.2413546523
878	0.2412730414
879	0.2410487897
880	0.2410100699
881	0.2409537111
882	0.2409090277
883	0.24078192
884	0.2406104567
885	0.240502604
886	0.2403275715
887	0.2401969134
888	0.2400555175
889	0.2398739539
890	0.2397601169
891	0.2396135829
892	0.2395759772
893	0.2394392103
894	0.2393846884
895	0.2393187832
896	0.2392844089
897	0.2392619501
898	0.2391230962
899	0.2389997775
900	0.2388631916
901	0.2388122502
902	0.2385803561
903	0.2384229875
904	0.2382595928
905	0.2382396592
906	0.2381585956
907	0.23809517
908	0.2380487546
909	0.2378325737
910	0.2376869267
911	0.2376016712
912	0.2375484038
913	0.2374753699
914	0.2374248786
915	0.2373278123
916	0.237267536
917	0.2371491312
918	0.2370672009
919	0.2370023321
920	0.236852302
921	0.2367822971
922	0.2367531245
923	0.2367280341
924	0.2366408578
925	0.2364623086
926	0.2363568658
927	0.2363167686
928	0.2362598295
929	0.236232103
930	0.2361958908
931	0.2361291934
932	0.2360861023
